Effective date ,S&P 500 Energy (Sector) (TR),S&P 500 Energy (Sector) (Net TR),S&P 500 Energy (Sector)
4/30/2008,847.73,385.17,618.24
5/1/2008,829.39,376.83,604.84
5/2/2008,839.28,381.33,612.05
5/5/2008,847.43,385.03,617.99
5/6/2008,865.69,393.32,631.3
5/7/2008,853.78,387.91,622.6
5/8/2008,870.35,395.44,634.68
5/9/2008,864.98,392.85,629.99
5/12/2008,863.5,392.18,628.91
5/13/2008,873.43,396.69,636.14
5/14/2008,865.55,393.1,630.33
5/15/2008,880.69,399.88,640.87
5/16/2008,902.99,410.01,657.09
5/19/2008,912.1,414.13,663.66
5/20/2008,919.18,417.35,668.81
5/21/2008,908.23,412.38,660.85
5/22/2008,898.92,408.1,653.8
5/23/2008,881.93,400.38,641.42
5/27/2008,875.86,397.63,637
5/28/2008,889.15,403.66,646.66
5/29/2008,871.22,395.51,633.59
5/30/2008,876.99,398.13,637.78
6/2/2008,877.53,398.36,638.09
6/3/2008,861.76,391.2,626.62
6/4/2008,851.15,386.38,618.9
6/5/2008,888.54,403.36,646.08
6/6/2008,874.64,397.03,635.88
6/9/2008,897.92,407.59,652.79
6/10/2008,878.08,398.58,638.36
6/11/2008,884.85,401.65,643.26
6/12/2008,869.04,394.47,631.72
6/13/2008,878.57,398.79,638.64
6/16/2008,880.73,399.78,640.22
6/17/2008,895.66,406.55,651.07
6/18/2008,894.69,406.11,650.36
6/19/2008,875.85,397.56,636.67
6/20/2008,869.36,394.61,631.95
6/23/2008,901.74,409.31,655.49
6/24/2008,888,403.07,645.5
6/25/2008,883.69,401.12,642.37
6/26/2008,874.21,396.81,635.45
6/27/2008,881.58,400.16,640.8
6/30/2008,896.99,407.15,652
7/1/2008,902.6,409.69,656.08
7/2/2008,873.44,396.46,634.88
7/3/2008,869.37,394.61,631.93
7/7/2008,849.42,385.55,617.42
7/8/2008,836.29,379.6,607.88
7/9/2008,818.61,371.57,595.03
7/10/2008,840.55,381.53,610.97
7/11/2008,834.42,378.75,606.52
7/14/2008,840.75,381.62,611.12
7/15/2008,805.55,365.64,585.52
7/16/2008,788.86,358.07,573.4
7/17/2008,776.32,352.38,564.28
7/18/2008,788.11,357.72,572.83
7/21/2008,811.23,368.22,589.64
7/22/2008,793.44,360.14,576.7
7/23/2008,763.03,346.34,554.6
7/24/2008,758.61,344.33,551.39
7/25/2008,766.16,347.76,556.88
7/28/2008,762.66,346.17,554.33
7/29/2008,756.86,343.49,549.85
7/30/2008,799.19,362.7,580.6
7/31/2008,771.91,350.31,560.76
8/1/2008,769,348.99,558.64
8/4/2008,731.73,332.07,531.54
8/5/2008,739.42,335.56,537.12
8/6/2008,753.53,341.97,547.37
8/7/2008,742.53,336.97,539.36
8/8/2008,738.36,335.08,536.34
8/11/2008,736.48,334.08,534.2
8/12/2008,731.79,331.95,530.79
8/13/2008,756.45,343.13,548.63
8/14/2008,746.92,338.8,541.7
8/15/2008,734.42,333.04,532.15
8/18/2008,725.8,329.12,525.84
8/19/2008,746.34,338.43,540.72
8/20/2008,767.06,347.83,555.71
8/21/2008,784.72,355.83,568.51
8/22/2008,772.56,350.32,559.7
8/25/2008,760.92,345.04,551.27
8/26/2008,774.44,351.17,561.06
8/27/2008,783.82,355.43,567.85
8/28/2008,777.96,352.76,563.58
8/29/2008,767.72,348.1,556.07
9/2/2008,732.25,332.02,530.38
9/3/2008,729.75,330.89,528.55
9/4/2008,714.07,323.77,517.19
9/5/2008,710.87,322.32,514.88
9/8/2008,707.44,320.75,512.28
9/9/2008,662.1,300.19,479.45
9/10/2008,686.07,311.06,496.8
9/11/2008,696.21,315.65,504.14
9/12/2008,715.75,324.51,518.25
9/15/2008,666.59,302.21,482.65
9/16/2008,692.32,313.88,501.28
9/17/2008,675.49,306.25,489.1
9/18/2008,695.59,315.36,503.65
9/19/2008,741.55,336.2,536.93
9/22/2008,733.43,332.52,531.05
9/23/2008,712.44,323,515.85
9/24/2008,712.83,323.18,516.13
9/25/2008,729.9,330.92,528.49
9/26/2008,717.24,325.17,519.29
9/29/2008,638.84,289.63,462.52
9/30/2008,675.9,306.43,489.35
10/1/2008,664.52,301.27,481.11
10/2/2008,625.17,283.43,452.62
10/3/2008,624.01,282.91,451.78
10/6/2008,601.6,272.74,435.56
10/7/2008,569.37,258.13,412.22
10/8/2008,574.35,260.39,415.82
10/9/2008,508.78,230.66,368.35
10/10/2008,467.79,212.08,338.68
10/13/2008,554.26,251.28,401.28
10/14/2008,553.64,251,400.83
10/15/2008,467.65,212.01,338.56
10/16/2008,504.1,228.54,364.95
10/17/2008,501.86,227.53,363.33
10/20/2008,557.85,252.91,403.85
10/21/2008,533.9,242.05,386.51
10/22/2008,478.53,216.94,346.43
10/23/2008,510.02,231.22,369.22
10/24/2008,490.4,222.32,355.02
10/27/2008,462.57,209.71,334.87
10/28/2008,517.79,234.74,374.85
